NO,QTY,JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA,TOTAL
59,2,SILVER BRACELETS,NSRB 401,0,0,32,44,24.00,142.00,68.16,136.32
60,3,SILVER BRACELETS,BCKS 48,0,0,25,19,7.50,116.00,37.12,111.36
61,3,SILVER BRACELETS,BCKS 48,0,0,31,79,8.00,124.00,39.68,119.04
62,3,SILVER BRACELETS,BCKS 48,0,0,25,87,8.50,130.00,41.60,124.80
63,1,SILVER BRACELETS,BCKS 48,0,0,46,93,9.00,46.00,44.16,44.16
64,2,SILVER BRACELETS,BSBP 5711,0,0,6,69,7.00,91.00,43.68,87.36
65,4,SILVER BRACELETS,BSBP 5711,0,0,22,62,7.50,195.00,46.80,187.20
66,3,SILVER BRACELETS,BSBP 5711,0,0,17,33,8.00,156.00,49.92,149.76
67,2,SILVER BRACELETS,BSBP 5711,0,0,43,42,8.50,111.00,53.28,106.56
68,3,SILVER BRACELETS,BLKL 52,0,0,18,87,7.50,51.00,28.83,86.49
69,5,SILVER BRACELETS,BLKL 52,0,0,44,60,8.00,99.00,31.60,158.01
70,2,SILVER BRACELETS,BLKL 52,0,0,42,99,8.50,36.00,29.82,59.64
71,1,SILVER NECKLECES,NSRK 501,0,0,39,41,18.00,73.00,70.08,70.08
72,1,SILVER BRACELETS,BFTN 125,0,0,32,67,7.50,96.00,92.16,92.16
73,2,SILVER BRACELETS,BFTN 125,0,0,4,15,8.00,204.00,97.92,195.84
74,1,SILVER BRACELETS,BFTN 125,0,0,16,33,8.00,108.00,103.68,103.68
75,2,SILVER BRACELETS,BSTR 577,0,0,35,62,7.00,98.00,47.04,94.08
76,4,SILVER BRACELETS,BSTR 577,0,0,6,88,7.50,209.00,50.16,200.64
77,3,SILVER BRACELETS,BSTR 577,0,0,21,51,8.00,167.00,53.44,160.32
78,4,SILVER BRACELETS,BTRP 68,0,0,40,24,7.50,181.00,43.44,173.76
79,2,SILVER BRACELETS,BTRP 68,0,0,34,91,8.00,97.00,46.56,93.12
80,2,SILVER BRACELETS,BTRP 68,0,0,49,70,8.50,102.00,48.96,97.92
81,1,SILVER BRACELETS,BS04-S,0,1,32,58,7.50,56.00,113.76,113.76
82,3,SILVER BRACELETS,BAKL 123,0,0,6,39,7.00,143.00,45.76,137.28
83,3,SILVER BRACELETS,BAKL 123,0,0,35,77,7.50,151.00,48.32,144.96
84,2,SILVER BRACELETS,BAKL 123,0,0,50,82,8.00,108.00,51.84,103.68
85,2,SILVER BRACELETS,BSTR 46-S,0,12,7,24,7.00,63.00,58.57,117.14
86,3,SILVER BRACELETS,BSTR 46-S,0,12,16,97,7.00,95.00,58.57,175.71
87,2,SILVER BRACELETS,BSTR 46-S,0,12,36,74,7.50,67.00,60.66,121.32
88,3,SILVER BRACELETS,BSTR 46-S,0,12,31,24,7.50,101.00,60.66,181.98
89,2,SILVER BRACELETS,BCBP 4611-S,0,12,21,91,7.00,65.00,59.37,118.74
90,1,SILVER BRACELETS,BCBP 4611-S,0,12,31,54,7.00,33.00,59.57,59.57
91,2,SILVER BRACELETS,BCBP 4611-S,0,12,50,95,7.50,69.00,61.57,123.14
92,3,SILVER BRACELETS,BCBP 4611-S,0,12,20,95,7.50,103.00,61.57,184.71
93,3,SILVER BRACELETS,BCTR 738-S,0,12,22,72,7.50,150.00,84.31,252.93
94,2,SILVER BRACELETS,BCBP 461-S,0,12,49,60,7.00,63.00,58.47,116.94
95,2,SILVER BRACELETS,BCBP 461-S,0,12,19,20,7.00,63.00,58.47,116.94
96,3,SILVER BRACELETS,BCBP 461-S,0,12,18,64,7.50,99.00,59.91,179.73
97,4,SILVER BRACELETS,BCBP 461-S,0,12,35,73,7.50,131.00,59.91,239.64
98,2,SILVER BRACELETS,BCFK 562,0,0,14,15,7.00,98.00,47.04,94.08
99,5,SILVER BRACELETS,BCFK 562,0,0,17,88,7.50,256.00,49.15,245.76
100,2,SILVER BRACELETS,BCFK 562,0,0,49,14,8.00,111.00,53.28,106.56
101,2,SILVER BRACELETS,BCFK 561,0,0,9,39,7.00,101.00,48.48,96.96
102,5,SILVER BRACELETS,BCFK 561,0,0,25,86,7.50,264.00,50.69,253.44
103,2,SILVER BRACELETS,BCFK 561,0,0,26,30,8.00,114.00,54.72,109.44
104,1,SILVER BRACELETS,BSFK 5702-SG,0.9,28,46,66,7.00,42.00,114.54,114.54
105,1,SILVER BRACELETS,BSFK 5702-SG,0.9,28,5,17,7.50,45.00,117.42,117.42
106,1,SILVER BRACELETS,BSFK 5702-S,0,28,38,59,7.00,42.00,72.86,72.86
107,1,SILVER BRACELETS,BSFK 5702-S,0,28,10,56,7.50,44.00,74.78,74.78
108,1,SILVER BRACELETS,BSFK 5702-G,1.3,0,22,24,7.50,49.00,137.25,137.25
109,2,SILVER BRACELETS,BSFK 5702-SL,0,0,17,83,7.00,89.00,42.72,85.44
110,3,SILVER BRACELETS,BSFK 5702-SL,0,0,29,64,7.50,140.00,44.80,134.40
111,1,SILVER NECKLECES,NCPL 94,0,0,27,85,,89.00,85.44,85.44
112,1,SILVER NECKLECES,NCPL 84,0,0,6,54,15.00,88.00,84.48,84.48
113,1,SILVER RINGS               ,RSTR 5705-S,0,54,10,29,7.50,11.00,25.89,25.89
114,1,SILVER RINGS                ,RSTR 5704-S,0,45,1,85,6.50,12.00,40.73,40.73
115,1,SILVER RINGS              ,RSTR 5703-S,0,57,10,40,6.50,14.00,45.94,45.94
116,1,SILVER RINGS,RSTR 570l-S,0,57,11,18,6.00,16.00,53.42,53.42
117,1,SILVER RINGS,RSTR 5702-S,0,61,12,11,6.50,14.00,48.44,48.44
118,1,SILVER RINGS,RC01-S,0,1,20,37,7.50,12.00,34.08,34.08
119,1,SILVER RINGS,RC02-S,0,16,46,19,7.00,9.00,40.45,40.45
120,1,SILVER RINGS,RC03-S,0,1,50,39,6.50,8.00,24.92,24.92
121,1,SILVER RINGS,RC04-S,0,1,22,72,6.50,6.00,27.19,27.19
122,1,SILVER BRACELETS,BSNT 156,0,0,30,74,8.50,111.00,106.56,106.56
123,1,SILVER PENDANT,CP01-S,0,0,45,37,-,18.00,37.32,37.32
124,1,SILVER PENDANT,CP02-S,0,0,4,19,-,14.00,35.11,35.11
125,1,SILVER NECKLECES,NCKK 45,0,0,13,49,20.00,29.00,27.84,27.84
126,1,SILVER NECKLECES,NCKK 45,0,0,12,16,22.00,31.00,29.76,29.76
127,1,SILVER BRACELETS                                           ,BCBP 682,0,0,23,33,10.00,68.00,65.28,65.28
128,1,SILVER BRACELETS                                             ,BTP 124,0,0,25,100,8.00,139.00,133.44,133.44
129,4,SILVER BRACELETS                                           ,BTP 124,0,0,37,30,8.50,580.00,139.20,556.80
