JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA
SILVER BRACELETS,BSTR 46-S,0,12,20,35.142,7,63,58.57
SILVER BRACELETS,BSTR 46-S,0,12,1,35.142,7,95,58.57
SILVER BRACELETS,BSTR 46-S,0,12,7,36.396,7.5,67,60.66
SILVER BRACELETS,BSTR 46-S,0,12,12,36.396,7.5,101,60.66
SILVER BRACELETS,BCBP 4611-S,0,12,10,35.622,7,65,59.37
SILVER BRACELETS,BCBP 4611-S,0,12,4,35.742,7,33,59.57
SILVER BRACELETS,BCBP 4611-S,0,12,13,36.942,7.5,69,61.57
SILVER BRACELETS,BCBP 4611-S,0,12,20,36.942,7.5,103,61.57
SILVER BRACELETS,BCTR 738-S,0,12,18,50.586,7.5,150,84.31
SILVER BRACELETS,BCBP 461-S,0,12,20,35.082,7,63,58.47
SILVER BRACELETS,BCBP 461-S,0,12,12,35.082,7,63,58.47
SILVER BRACELETS,BCBP 461-S,0,12,2,35.946,7.5,99,59.91
SILVER BRACELETS,BCBP 461-S,0,12,20,35.946,7.5,131,59.91
SILVER BRACELETS,BCFK 562,0,0,6,28.224,7,98,47.04
SILVER BRACELETS,BCFK 562,0,0,12,29.49,7.5,256,49.15
SILVER BRACELETS,BCFK 562,0,0,19,31.968,8,111,53.28
SILVER BRACELETS,BCFK 561,0,0,7,29.088,7,101,48.48
SILVER BRACELETS,BCFK 561,0,0,4,30.414,7.5,264,50.69
SILVER BRACELETS,BCFK 561,0,0,12,32.832,8,114,54.72
SILVER BRACELETS,BSFK 5702-SG,0.9,28,5,68.724,7,42,114.54
SILVER BRACELETS,BSFK 5702-SG,0.9,28,10,70.452,7.5,45,117.42
SILVER BRACELETS,BSFK 5702-S,0,28,4,43.716,7,42,72.86
SILVER BRACELETS,BSFK 5702-S,0,28,20,44.868,7.5,44,74.78
SILVER BRACELETS,BSFK 5702-G,1.3,0,8,82.35,7.5,49,137.25
SILVER BRACELETS,BSFK 5702-SL,0,0,11,25.632,7,89,42.72
SILVER BRACELETS,BSFK 5702-SL,0,0,14,26.88,7.5,140,44.8
SILVER NECKLECES,NCPL 94,0,0,20,51.264,7.5,89,85.44
SILVER NECKLECES,NCPL 84,0,0,11,50.688,15,88,84.48
SILVER RINGS,RSTR 5705-S,0,54,7,15.534,7.5,11,25.89
SILVER RINGS,RSTR 5704-S,0,45,6,24.438,6.5,12,40.73
SILVER RINGS,RSTR 5703-S,0,57,4,27.564,6.5,14,45.94
SILVER RINGS,RSTR 570l-S,0,57,16,32.052,6,16,53.42
SILVER RINGS,RSTR 5702-S,0,61,5,29.064,6.5,14,48.44
SILVER RINGS,RC01-S,0,1,2,20.448,7.5,12,34.08
SILVER RINGS,RC02-S,0,16,17,24.27,7,9,40.45
SILVER RINGS,RC03-S,0,1,17,14.952,6.5,8,24.92
SILVER RINGS,RC04-S,0,1,2,16.314,6.5,6,27.19
SILVER BRACELETS,BSNT 156,0,0,6,63.936,8.5,111,106.56
SILVER PENDANT,CP01-S,0,0,4,22.392,8.5,18,37.32
SILVER PENDANT,CP02-S,0,0,1,21.066,8.5,14,35.11
SILVER NECKLECES,NCKK 45,0,0,20,16.704,20,29,27.84
SILVER NECKLECES,NCKK 45,0,0,16,17.856,22,31,29.76
SILVER BRACELETS,BCBP 682,0,0,20,39.168,10,68,65.28
SILVER BRACELETS,BTP 124,0,0,15,80.064,8,139,133.44
SILVER BRACELETS,BTP 124,0,0,9,83.52,8.5,580,139.2
SILVER BRACELETS,BTP 124,0,0,12,88.128,9,153,146.88
SILVER BRACELETS,BSER 125,0,0,3,35.712,7.5,124,59.52
SILVER BRACELETS,BSER 125,0,0,16,40.608,8.5,141,67.68
SILVER BRACELETS,BSER 117,0,0,12,39.168,7.5,136,65.28
SILVER BRACELETS,BSER 117,0,0,19,44.352,8.5,154,73.92
SILVER BRACELETS,BSKN 68,0,0,15,30.24,7.5,105,50.4
SILVER BRACELETS,BSKN 68,0,0,16,33.696,8.5,117,56.16
SILVER BRACELETS,BSOK 46-GP,0,0,1,21.912,7,369,36.52
SILVER BRACELETS,BSOK 46-GP,0,0,17,23.064,7.5,393,38.44
SILVER BRACELETS,BSOK 46-GP,0,0,13,24.36,8,280,40.6
SILVER BRACELETS,BSTR 750-GP,0,0,6,34.008,7.5,414,56.68
SILVER BRACELETS,BSTR 750-GP,0,0,6,35.88,8,660,59.8
SILVER BRACELETS,BSTR 750-GP,0,0,3,38.328,8.5,711,63.88
SILVER BRACELETS,BSTR 750-GP,0,0,4,39.84,9,495,66.4
SILVER NECKLECES,NSRK 401-GP,0,0,12,31.896,18,577,53.16
SILVER NECKLECES,NSRK 401-GP,0,0,5,34.824,20,638,58.04
SILVER NECKLECES,NSRK 401-GP,0,0,4,37.656,22,697,62.76
SILVER NECKLECES,NSRK 401-GP,0,0,4,40.008,24,746,66.68
SILVER NECKLECES,NSRK 501-GP,0,0,2,45.384,18,429,75.64
SILVER NECKLECES,NSRK 501-GP,0,0,12,49.896,20,476,83.16
SILVER NECKLECES,NSRK 501-GP,0,0,12,54.312,22,522,90.52
SILVER NECKLECES,NSRK 501-GP,0,0,15,58.728,24,568,97.88
SILVER BRACELETS,BSER 117-G,0.9,0,20,85.632,8,74,142.72
SILVER BRACELETS,BSER 117-G,0.9,0,8,87.36,8.5,79,145.6
SILVER BRACELETS,BSRB 614,0,0,5,88.128,8,306,146.88
SILVER BRACELETS,BSRB 614,0,0,7,93.6,8.5,325,156
SILVER BRACELETS,BSRK 560,0,0,7,23.844,7,207,39.74
SILVER BRACELETS,BSRK 560,0,0,1,25.344,7.5,220,42.24
SILVER BRACELETS,BSRK 560,0,0,11,26.61,8,231,44.35
SILVER BRACELETS,BTP 154-S,0,5,3,104.4,8.5,150,174
SILVER BRACELETS,BTP 154-S,0,5,19,110.16,9,160,183.6
SILVER BRACELETS,BSFK 850-G,0.9,0,4,78.72,7.5,62,131.2
SILVER BRACELETS,BSFK 850-G,0.9,0,5,81.024,7.5,66,135.04
SILVER BRACELETS,BSTR 577-G,1,0,19,77.07,7.5,50,128.45
SILVER BRACELETS,BSTR 550,0,0,15,31.488,8,164,52.48
SILVER BRACELETS,BSTR 550,0,0,3,32.64,8.5,170,54.4
SILVER BRACELETS,BCHK 1040,0,0,7,64.8,8.5,225,108
SILVER BRACELETS,BSER 1016,0,0,15,71.424,8,124,119.04
SILVER BRACELETS,BSER 1016,0,0,2,74.304,8.5,129,123.84
SILVER BRACELETS,BSER 1016,0,0,2,80.064,9,139,133.44
SILVER BRACELETS,BSER 1216-S,0,6,19,92.304,8.25,129,153.84
SILVER BRACELETS,BSER 1216-S,0,6,2,96.912,8.75,137,161.52
SILVER BRACELETS,BBBG 425-G,2.3,0,1,140.184,8.75,88,233.64
GOLD RING (141<),RCRH 01,5,0,1,132.3,4,5,220.5
GOLD RING (141<),RCRH 01,9.2,0,7,238.392,8.5,9.2,397.32
SILVER BRACELETS,BSTR 6831-SG,0.5,20,19,62.658,7.5,53,104.43
SILVER BRACELETS,BSTR 7931-SG,0.6,18,18,72.6,7.5,66,121
SILVER BRACELETS,BSFK 5701-SG,1.1,57,20,82.428,7.5,48,137.38
SILVER BRACELETS,BSTR 5705-SG,1.1,75,11,82.494,7.5,43,137.49
SILVER BRACELETS,BSTR 5701-SG,1,33,18,74.238,7,40,123.73
SILVER BRACELETS,BSTR 5702-SG,1,33,2,77.4,7.5,42,129
SILVER BRACELETS,BSTR 5703-SG,1,37,6,77.646,7,40,129.41
SILVER BRACELETS,BLKL 750,0,0,17,19.08,7.5,20,31.8
SILVER BRACELETS,BLKL 750,0,0,11,19.674,8,21,32.79
SILVER BRACELETS,BSTR 5704-S,0,33,14,48.822,7.5,41,81.37
SILVER BRACELETS,BSTR 5703-S,0,37,5,48.966,7.5,41,81.61
SILVER BRACELETS,BSKN 68,0,0,4,31.104,7.5,162,51.84
SILVER BRACELETS,BSKN 68,0,0,7,32.976,8,229,54.96
SILVER BRACELETS,BSKN 68,0,0,20,34.56,8.5,60,57.6
SILVER BRACELETS,BDKM 075,0,0,15,44.928,8.25,234,74.88
SILVER BRACELETS,BSKM 775,0,0,2,41.664,7.5,217,69.44
SILVER BRACELETS,BSKM 775,0,0,13,43.488,8,302,72.48
SILVER BRACELETS,BSKM 775,0,0,4,45.216,8.5,157,75.36
SILVER BRACELETS,BSFB 614,0,0,3,87.552,8,456,145.92
SILVER BRACELETS,BSFB 614,0,0,12,94.176,8.5,327,156.96
SILVER BRACELETS,BSFB 614,0,0,13,98.496,9,171,164.16
